id;name;region;city
1601402;Алтайский край, Алейский сельсовет;Алтайский край;Алейский сельсовет
1601404;Алтайский край, Александровский сельсовет;Алтайский край;Александровский сельсовет
1601408;Алтайский край, Безголосовский сельсовет;Алтайский край;Безголосовский сельсовет
1601413;Алтайский край, Большепанюшевский сельсовет;Алтайский край;Большепанюшевский сельсовет
1601417;Алтайский край, Боровской сельсовет;Алтайский край;Боровской сельсовет
1601419;Алтайский край, Ветёльский сельсовет;Алтайский край;Ветёльский сельсовет
1601420;Алтайский край, Дружбинский сельсовет;Алтайский край;Дружбинский сельсовет
99630440;Еврейская автономная область, Волочаевское;Еврейская автономная область;Волочаевское
99701000;Еврейская автономная область, Город Биробиджан;Еврейская автономная область;Город Биробиджан
